Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP001838;;75008;9;3;DIOR;REHABILITATION_IMMEUBLE;Curage du 11/02/21 au 30/06/21;rue Vernet;entre Bassano et Galilée;2021-02-11;2023-03-31;;;;2;;"{""coordinates"": [[[2.2988730194839535, 48.87180408982155], [2.2999616525460276, 48.8714559131055], [2.2999407948877977, 48.87139749292987], [2.298815901081782, 48.87175973414693], [2.2988730194839535, 48.87180408982155]]], ""type"": ""Polygon""}";48.871603037289425, 2.299401233940519
CP002498;;75007;12;1;STV-S;REFECTION_CHAUSSEE;Décroutage  de la chaussée + Tapis;Avenue de Suffren;Entre la place Joffre et la rue de la Fédération;2023-06-06;2023-07-05;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.3007272612245786, 48.85119969804123], [2.298351893427507, 48.85271575460935], [2.298464867954388, 48.85278352095817], [2.300717290430639, 48.851336531426796], [2.3007867522187673, 48.85131277965305], [2.300880292963085, 48.85131332625799], [2.3007272612245786, 48.85119969804123]]], ""type"": ""Polygon""}";48.851994593866365, 2.2995888179232384
CP002499;822445;75015;13;1;STV-SO 15e;REFECTION_CHAUSSEE;Reprise du pavage sur chaussée + création zone vélos;Rue Fizeau;Entre la rue de Chambéry et la rue de Cherbourg;2023-05-22;2023-06-16;BARRAGE_TOTAL;;2;2;;"{""coordinates"": [[[2.3032854669276555, 48.83080595494344], [2.3033782567658507, 48.83087502794765], [2.3034032212351163, 48.83084090710298], [2.303548413916611, 48.83076465361057], [2.30358370785087, 48.830766763109715], [2.3035088311572602, 48.83070588537145], [2.303337530494365, 48.83079388459845], [2.303286181151143, 48.83080643487433], [2.3032854669276555, 48.83080595494344]]], ""type"": ""Polygon""}";48.83078647327676, 2.3034316492244034
CP002503;819242;75015;13;2;Eau de Paris;ENTRETIEN_RESEAU;Intervention sur chaussée pavés;Place Dupleix;Face au 2 - 6 place Dupleix;2023-07-03;2023-12-29;BARRAGE_TOTAL;Fermeture de la place Dupleix (entre les n°2 et n° 6) depuis la rue Dupleix;2;2;;"{""coordinates"": [[[2.296046112684518, 48.85166386737676], [2.2960514569579358, 48.85166865823595], [2.2964824662466063, 48.8513927844736], [2.296448584346168, 48.85136522039633], [2.296017526885203, 48.8516446633222], [2.296046112684518, 48.85166386737676]]], ""type"": ""Polygon""}";48.85151598006989, 2.2962528398273885
CP002509;;75007;12;1;STV;REFECTION_CHAUSSEE;Travaux de désamiantage + Reprise ponctuelle de fondation;Avenue de Suffren;carrefour Suffren/ avenue Josepph Bouvard;2023-07-17;2023-08-04;SENS_UNIQUE;"En 2 phases
Mise à sens unique de l'avenue de Suffren vers Quai Branly
Mise à double sens du barreau av. Charles Floquet entre av. du Gral Tripier et av. du Docteur Brouardel, ainsi que le tronçon de Joseph Bouvard entre C. Floquet et Pl J. RUEFF";1;2;;"{""coordinates"": [[[2.2958095881097673, 48.85434718710467], [2.2958014537222096, 48.85434713923247], [2.295386928176215, 48.85462116622625], [2.2953017700783938, 48.85460187533738], [2.295240036521471, 48.85465519444956], [2.295264113114722, 48.85467949391761], [2.2952146167260854, 48.854730200501265], [2.295319420791034, 48.854800605255434], [2.2953726570379698, 48.85477407741616], [2.2954863955981204, 48.854785483675556], [2.2959750382288706, 48.854444790453584], [2.2958095881097673, 48.85434718710467]]], ""type"": ""Polygon""}";48.85458899612755, 2.2955874414864503
CP002515;;75008;9;1;SAGP;REAMENAGEMENT_VOIRIE;Elargissement de trottoir;Avenue franklin Roosevelt;"Carrefour Franklin Roosevelt Jean Goujon
Phase 1";2023-07-24;2023-08-08;RESTREINTE;"Maintien de 5,00m sur Jean goujon
Fermeture de la contre allée Franklin D. Roosevelt entre Jean Goujon et impasse d'Antin";2;2;;"{""coordinates"": [[[2.3100117010739734, 48.86710269156231], [2.310093066360021, 48.867103160601665], [2.310117636410889, 48.866783893803266], [2.3096714166495254, 48.866684692368814], [2.309666851229504, 48.86672224345491], [2.3100072974129056, 48.86682083516094], [2.31001166553039, 48.86710537500798], [2.3100117010739734, 48.86710269156231]]], ""type"": ""Polygon""}";48.866866841416815, 2.3099857228265646
CP002522;821095;75015;13;1;Mission vélos;REAMENAGEMENT_VOIRIE;Aménagement voie cyclable;Rue Linois;Entre la place Charles Michels et le quai de Grenelle / André Citroën;2023-07-03;2024-03-05;RESTREINTE;La voie bue est neutralisée pendant les travaux, seule la voie de gauche est circulée;2;2;;"{""coordinates"": [[[2.2818712795883327, 48.84908469537878], [2.281996129995401, 48.849174022171034], [2.282016537190529, 48.84916877633271], [2.284056392012871, 48.84782281600207], [2.2853361305767868, 48.847033271823385], [2.285647327434154, 48.84687944839837], [2.2854658382754325, 48.846768313721434], [2.2818712795883327, 48.84908469537878]]], ""type"": ""Polygon""}";48.84795268395717, 2.2837577541834713
CP002437;766985;75015;13;3;SCI ACM COTENTIN;REHABILITATION_IMMEUBLE;;rue de l'Armorique;Au 21-23;2022-12-19;2024-04-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.3147888672474264, 48.839148161191275], [2.3146942819603478, 48.83915856466446], [2.3147163713162477, 48.839288140962445], [2.3148139098236094, 48.83927251826303], [2.3147903037512862, 48.83914864518603], [2.3147888672474264, 48.839148161191275]]], ""type"": ""Polygon""}";48.839217125673386, 2.3147534341288774
CP001477;;75008;9;2;SNCF EOLE;CREATION_ENTRETIEN_OUVRAGE_ART;Création d'un puits de service, travaux préparatoire du 26/08/19 au 30/08/19;Avenue de Messine;du n°2 au n°16;2019-08-26;2023-02-28;RESTREINTE;Maintien d'un file de circulation au droit de l'emprise.;2;2;;"{""coordinates"": [[[2.313937384330044, 48.876027117035385], [2.313974930275214, 48.87605231674796], [2.3147188488919417, 48.875718687897425], [2.3147518291249445, 48.875679615138374], [2.3149239838360867, 48.87561873314292], [2.3152027820559806, 48.875540614522286], [2.315195329178253, 48.87542159738105], [2.3151719609046855, 48.87541551456593], [2.3148206587351954, 48.87552058234331], [2.3138445376667494, 48.87595519984275], [2.313937384330044, 48.876027117035385]]], ""type"": ""Polygon""}";48.87572980964821, 2.314529093609444
CP002455;765541;75015;13;2;CPCU;CREATION_RESEAUX;Création canalisation chauffage urbain;Rue de Vaugirard;Entre les n° 156 et 164 (coté pair);2023-01-30;2023-04-28;RESTREINTE;Piste cyclable déviée dans la circulation générale;2;2;;"{""coordinates"": [[[2.313988546143354, 48.84341497118011], [2.313996853178081, 48.84337734259612], [2.312911898584335, 48.84304233767827], [2.3128953475311524, 48.8430672279002], [2.313981539431601, 48.843399463712316], [2.313988546143354, 48.84341497118011]]], ""type"": ""Polygon""}";48.84321963970753, 2.313439874033886
